brand,model,year,price,dummy
Уаз,Автобус (2206),2021,840 000 ₽,1
Renault,Duster NEW,2021,1 365 000 ₽,1
Peugeot,Expert,2021,1 706 900 ₽,1
Hyundai,Solaris NEW,2021,916 000 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Renault,Duster NEW,2021,1 385 000 ₽,1
Renault,Sandero Stepway,2021,842 000 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Уаз,Патриот New,2021,1 119 900 ₽,1
Renault,Duster NEW,2021,1 395 000 ₽,1
Hyundai,Solaris NEW,2021,901 000 ₽,1
Lada,XRAY,2021,642 900 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Kia,Rio X,2021,1 324 900 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Renault,Duster NEW,2021,1 245 000 ₽,1
Citroen,SpaceTourer,2021,2 519 900 ₽,1
Уаз,Автобус (2206),2021,880 900 ₽,1
Citroen,C5 Aircross,2021,2 429 000 ₽,1
Kia,K5,2021,2 132 900 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Kia,Ceed SW,2021,1 524 900 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Lada,Granta,2021,552 900 ₽,1
Renault,Duster NEW,2021,1 149 000 ₽,1
Citroen,C5 Aircross,2021,2 444 000 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
Citroen,Jumpy,2021,1 706 900 ₽,1
Renault,Duster NEW,2021,1 405 000 ₽,1
Renault,Sandero Stepway,2021,952 000 ₽,1
Kia,Rio NEW,2021,1 069 900 ₽,1
Citroen,Berlingo Multispace,2021,1 229 000 ₽,1
Kia,Sportage,2021,1 867 900 ₽,1
Hyundai,Santa Fe,2021,2 892 000 ₽,1
Renault,Sandero Stepway,2021,952 000 ₽,1
Renault,Kaptur,2021,1 429 000 ₽,1
Lada,Vesta,2021,790 900 ₽,1
Suzuki,Vitara,2021,1 545 990 ₽,1
Hyundai,Creta,2021,1 452 000 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Lada,Vesta,2021,781 900 ₽,1
Kia,Ceed SW,2021,1 584 900 ₽,1
Peugeot,3008 NEW,2021,2 444 000 ₽,1
Hyundai,Solaris NEW,2021,1 044 000 ₽,1
Renault,Kaptur,2021,1 232 000 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Kia,Rio X,2021,1 135 900 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Renault,Logan,2021,790 000 ₽,1
Hyundai,Santa Fe,2021,2 892 000 ₽,1
Kia,Rio NEW,2021,1 009 900 ₽,1
Jeep,Grand Cherokee,2021,4 685 000 ₽,1
Renault,Logan,2021,793 000 ₽,1
