brand_model,price,year
УАЗ Патриот New,1 224 900 ₽,2021
Kia Cerato,1 515 900 ₽,2021
RENAULT Duster NEW,1 400 000 ₽,2021
Kia Sportage,1 907 900 ₽,2021
RENAULT Kaptur,1 513 000 ₽,2021
CITROEN SpaceTourer,3 119 900 ₽,2021
LADA Granta Drive Active,646 900 ₽,2021
Kia Seltos,1 593 900 ₽,2021
HYUNDAI Tucson NEW,2 647 000 ₽,2021
Kia Rio NEW,1 034 900 ₽,2021
SUZUKI Vitara,1 339 990 ₽,2021
HYUNDAI Solaris NEW,991 000 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
RENAULT Duster NEW,1 149 000 ₽,2021
RENAULT Duster NEW,1 399 000 ₽,2021
SUZUKI SX4,1 359 990 ₽,2021
Kia Rio X,1 129 900 ₽,2021
LADA Vesta SW,857 900 ₽,2021
LADA Vesta,660 900 ₽,2021
Kia Picanto,1 000 900 ₽,2021
RENAULT Sandero Stepway,852 000 ₽,2021
Kia K5,2 132 900 ₽,2021
RENAULT Duster NEW,1 325 000 ₽,2021
LADA Granta,620 800 ₽,2021
RENAULT Logan Stepway,822 000 ₽,2021
LADA Vesta SW,857 900 ₽,2021
LADA XRAY Cross,745 900 ₽,2021
Kia Ceed SW,1 524 900 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
RENAULT Logan Stepway,893 000 ₽,2021
Kia Rio X,1 135 900 ₽,2021
LADA Vesta,790 900 ₽,2021
Kia Rio NEW,1 040 900 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
LADA Vesta,678 900 ₽,2021
Jeep Grand Cherokee,4 600 000 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
LADA XRAY Cross,745 900 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
PEUGEOT 2008,2 069 000 ₽,2021
Kia Rio X,1 054 900 ₽,2021
RENAULT Kaptur,1 623 000 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
LADA Granta,608 800 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
Kia Cerato,1 460 900 ₽,2021
LADA XRAY Cross,745 900 ₽,2021
Kia Seltos,1 673 900 ₽,2021
SUZUKI Jimny,1 769 990 ₽,2021
LADA Niva Travel,797 900 ₽,2021
HYUNDAI Solaris NEW,1 146 000 ₽,2021
Jeep Grand Cherokee,4 305 000 ₽,2021
Kia K5,1 752 900 ₽,2021
RENAULT Duster NEW,1 149 000 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
Kia Sportage,1 827 900 ₽,2021
Kia Seltos,1 673 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
Kia Sportage,2 442 900 ₽,2021
CHERY Tiggo 4,1 349 900 ₽,2021
RENAULT Duster NEW,1 429 000 ₽,2021
LADA Vesta,859 900 ₽,2021
Kia Rio X,1 129 900 ₽,2021
Kia Seltos,1 621 900 ₽,2021
RENAULT Duster NEW,1 359 000 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
УАЗ Автобус (2206),840 000 ₽,2021
RENAULT Arkana,1 660 000 ₽,2021
LADA Vesta SW,809 900 ₽,2021
HYUNDAI Solaris NEW,831 000 ₽,2021
Kia Sportage,1 857 900 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
CITROEN C5 Aircross,2 749 000 ₽,2021
Kia Rio NEW,1 035 900 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
SUZUKI Jimny,1 919 990 ₽,2021
УАЗ Патриот New,1 119 900 ₽,2021
LADA Granta универсал,535 500 ₽,2021
LADA Vesta SW Cross,872 900 ₽,2021
Jeep Grand Cherokee,4 305 000 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
RENAULT Logan Stepway,842 000 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
HYUNDAI Solaris NEW,881 000 ₽,2021
LADA Largus фургон NEW,684 900 ₽,2021
LADA Vesta SW Cross,872 900 ₽,2021
HYUNDAI Solaris NEW,886 000 ₽,2021
RENAULT Kaptur,1 360 000 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
SUZUKI Jimny,1 709 990 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
Kia K5,1 992 900 ₽,2021
LADA Largus фургон NEW,791 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
CITROEN Jumper фургон,2 301 900 ₽,2021
УАЗ Патриот New,1 119 900 ₽,2021
PEUGEOT Boxer,2 341 900 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
УАЗ Автобус (2206),840 000 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
PEUGEOT Partner,1 139 000 ₽,2021
SUZUKI Vitara,1 605 990 ₽,2021
Kia Rio X,1 330 900 ₽,2021
RENAULT Sandero Stepway,852 000 ₽,2021
LADA XRAY Cross,733 900 ₽,2021
LADA Vesta SW,857 900 ₽,2021
Kia Ceed SW,1 809 900 ₽,2021
SUZUKI SX4,1 809 990 ₽,2021
SUZUKI SX4,1 609 990 ₽,2021
RENAULT Kaptur,1 566 000 ₽,2021
LADA XRAY Cross,733 900 ₽,2021
УАЗ Патриот New,1 119 900 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
Kia Rio X,1 135 900 ₽,2021
RENAULT Kaptur,1 543 000 ₽,2021
SUZUKI Vitara,1 529 990 ₽,2021
RENAULT Sandero Stepway,852 000 ₽,2021
Kia Ceed SW,1 809 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
RENAULT Logan Stepway,843 000 ₽,2021
HYUNDAI Santa Fe,3 052 000 ₽,2021
УАЗ Патриот New,1 119 900 ₽,2021
Kia Sportage,1 827 900 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
RENAULT Sandero Stepway,852 000 ₽,2021
УАЗ Остекленный фургон (3741),785 000 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
RENAULT Arkana,1 443 000 ₽,2021
Kia Sportage,1 857 900 ₽,2021
LADA Granta лифтбек,550 500 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
RENAULT Sandero Stepway,852 000 ₽,2021
SUZUKI Vitara,1 339 990 ₽,2021
CHERY Tiggo 4,1 069 900 ₽,2021
Kia Seltos,1 501 900 ₽,2021
CITROEN Jumper фургон,2 358 900 ₽,2021
LADA Vesta SW,909 900 ₽,2021
CHERY Tiggo 4,1 349 900 ₽,2021
LADA Vesta Sport,1 132 900 ₽,2021
