area_sqm,price,region
60.6,6575000,"Краснодарский край, Новороссийск"
66.4,6930000,"Краснодарский край, Новороссийск"
32.8,4872000,"Краснодарский край, Новороссийск"
59.8,6687000,"Краснодарский край, Новороссийск"
60.7,6604000,"Краснодарский край, Новороссийск"
39.0,5325000,"Краснодарский край, Новороссийск"
43.4,5771000,"Краснодарский край, Новороссийск"
39.0,5193000,"Краснодарский край, Новороссийск"
39.0,5071000,"Краснодарский край, Новороссийск"
39.0,5039000,"Краснодарский край, Новороссийск"
59.8,6890000,"Краснодарский край, Новороссийск"
32.8,4856000,"Краснодарский край, Новороссийск"
87.2,8560000,"Краснодарский край, Новороссийск"
32.8,4830000,"Краснодарский край, Новороссийск"
60.6,6854000,"Краснодарский край, Новороссийск"
39.0,4973000,"Краснодарский край, Новороссийск"
25.1,3935330,"Краснодарский край, Новороссийск"
18.0,2800000,"Республика Крым, Евпатория"
42.0,2800000,"Чеченская Республика, Грозный"
49.2,1800000,"Иркутская область, Бодайбинский р-н, Бодайбо"
89.0,3000000,"Республика Дагестан, Махачкала"
24.7,2900000,"Ленинградская область, Мурино"
91.6,3200000,"Кабардино-Балкарская Республика, Нальчик"
37.0,11500000,Москва
30.0,1700000,"Кабардино-Балкарская Республика, Нальчик"
36.4,7039530,
62.7,6929000,
32.6,4633460,
130.1,19000000,"Республика Татарстан, Казань"
84.0,8990000,"Московская область, г.о. Красногорск, д. Сабурово"
29.0,1480000,"Кировская область, Киров"
35.9,4303200,
34.7,5600000,
29.8,3667860,
76.0,4100000,"Ставропольский край, Пятигорск"
76.0,4700000,"Пензенская область, Пензенский р-н, с. Засечное"
38.0,10500000,"Краснодарский край, Сочи"
40.0,2600000,"Республика Дагестан, Дербент"
65.0,2925000,"Республика Калмыкия, Элиста"
60.0,4100000,"Ставропольский край, Ставрополь"
75.0,3390000,"Республика Дагестан, Махачкала"
52.0,4800000,"Магаданская область, Магадан"
107.0,6450000,"Иркутская область, Ангарский г.о., Ангарск"
30.9,1689000,"Рязанская область, Рязанский р-н, Дядьковское сельское поселение, с. Дядьково"
107.5,14999990,Санкт-Петербург
37.0,3300000,"Республика Башкортостан, Уфа"
73.3,3900000,"Кемеровская область, Кемеровский г.о., Кемерово"
77.4,12999999,Санкт-Петербург
44.0,6100000,"Республика Татарстан, Казань"
71.0,2800000,"Республика Татарстан, Лениногорский р-н, Лениногорск"
58.0,6000000,"Забайкальский край, Чита"
39.0,2480000,"Ярославская область, Ярославль"
102.4,10500000,"Республика Дагестан, Махачкала"
45.2,2150000,"Республика Татарстан, Зеленодольский р-н, Зеленодольск"
37.6,2707000,"Краснодарский край, Краснодар"
62.0,3400000,"Ставропольский край, Пятигорск"
35.0,2700000,"Карачаево-Черкесская Республика, Черкесск"
53.0,7000000,"Московская область, Люберцы"
55.4,5700000,"Ленинградская область, Всеволожский р-н, Муринское городское поселение, Мурино"
144.0,16900000,"Московская область, г.о. Мытищи, пос. Поведники"
61.8,5080000,"Кемеровская область, Кемеровский г.о., Кемерово"
70.0,4700000,"Ставропольский край, Пятигорск"
57.0,14800000,Москва
120.0,9000000,"Краснодарский край, Сочи"
52.0,4650000,"Тюменская область, Ноябрьск"
60.0,9899999,"Ростовская область, Ростов-на-Дону"
46.0,2650000,"Республика Дагестан, Каспийск"
59.0,3550000,"Ставропольский край, Пятигорск"
103.0,3950000,"Республика Северная Осетия — Алания, Владикавказ"
52.9,15870000,"Краснодарский край, Сочи"
78.0,3700000,"Республика Дагестан, Каспийск"
55.4,15500000,Санкт-Петербург
59.0,7800000,"Амурская область, Благовещенский р-н, с. Чигири"
52.0,2850000,"Оренбургская область, Оренбург"
93.0,9200000,"Свердловская область, Екатеринбург"
35.0,4180000,"Республика Татарстан, Казань"
54.0,6300000,"Камчатский край, Петропавловск-Камчатский"
47.3,1500000,"Республика Марий Эл, Звениговский р-н, городское поселение Красногорский, пос. городского типа Красногорский"
43.0,1560000,"Республика Адыгея, Тахтамукайский р-н, пос. городского типа Энем"
50.2,2700000,"Республика Башкортостан, Туймазинский р-н, Туймазы"
35.5,11300000,Санкт-Петербург
36.9,12200000,
67.0,11170000,
38.5,4424050,
51.0,3800000,"Ярославская область, Ярославль"
50.6,890000,"Рязанская область, Касимов"
61.0,3200000,"Тульская область, Ясногорский р-н, Ясногорск"
34.7,5600000,
32.6,4633460,
38.3,5285400,
34.7,5600000,"Республика Татарстан, Казань"
24.1,2200000,"Краснодарский край, муниципальное образование Краснодар, пос. Краснодарский"
41.0,3600000,"Тюменская область, Тюмень"
70.0,3550000,"Ставропольский край, Ставрополь"
56.4,12500000,Москва
56.0,5000000,"Тверская область, Тверь"
33.0,930000,"Республика Башкортостан, Салават"
55.0,5150000,"Калининградская область, Калининград"
55.0,1300000,"Республика Дагестан, г.о. Махачкала, пос. городского типа Семендер"
38.0,2230000,"Кемеровская область, Новокузнецкий г.о., Новокузнецк"
101.0,20500000,Санкт-Петербург
38.0,2900000,"Республика Крым, г.о. Ялта, Алупка"
109.1,24000000,Санкт-Петербург
73.0,10500000,"Краснодарский край, Краснодар"
54.7,9900000,Санкт-Петербург
60.0,3500000,"Ставропольский край, Ставрополь"
27.4,7320000,Санкт-Петербург
55.0,4350000,"Ставропольский край, Ставрополь"
40.0,3050000,"Самарская область, Самара"
25.0,8000000,"Краснодарский край, Сочи"
55.0,4500000,"Томская область, Томск"
50.0,17500000,"Краснодарский край, Сочи"
43.0,3490000,"Калининградская область, Калининград"
92.4,11870000,Санкт-Петербург
60.0,3550000,"Ставропольский край, Пятигорск"
36.0,8300000,Москва
30.1,3400000,"Севастополь, Балаклавский р-н, муниципальное образование Инкерман, Инкерман"
36.0,4400000,"Краснодарский край, Новороссийск"
76.5,25000000,Москва
35.0,1600000,"Краснодарский край, Белореченский р-н, Белореченск"
37.7,7700000,Москва
50.0,3200000,"Краснодарский край, Анапа"
38.0,2100000,"Республика Северная Осетия — Алания, Владикавказ"
32.0,3850000,"Республика Крым, г.о. Симферополь, пос. городского типа Грэсовский"
31.0,1960000,"Владимирская область, Владимир"
41.7,2230000,"Ставропольский край, Ставрополь"
54.2,3535000,"Пензенская область, Пенза"
42.6,7000000,"Краснодарский край, Сочи"
57.4,2350000,"Республика Адыгея, Тахтамукайский р-н, пос. городского типа Энем"
32.7,3000000,"Тюменская область, Тюмень"
42.6,7000000,"Краснодарский край, Сочи"
43.0,5200000,"Тульская область, Тула"
120.0,29000000,"Краснодарский край, Сочи"
26.4,1299000,"Ростовская область, Ростов-на-Дону"
36.0,6950000,Санкт-Петербург
37.8,11100000,Москва
44.8,1050000,"Хабаровский край, Амурский р-н, Амурск"
21.1,3091150,
71.0,14164500,
81.8,14796293,
63.0,4700000,"Республика Крым, Симферополь"
14.9,3300000,Санкт-Петербург
39.2,3400000,"Республика Коми, Сыктывкар"
31.9,4354350,
40.0,6548000,
40.0,4638840,
30.0,5990000,Санкт-Петербург
73.0,2900000,"Белгородская область, Белгород"
31.4,1980000,"Ростовская область, Ростов-на-Дону"
49.6,2850000,"Самарская область, Самара"
64.0,2900000,"Саратовская область, Энгельсский р-н, Энгельс"
60.0,5500000,"Иркутская область, Иркутск"
60.0,2800000,"Липецкая область, Чаплыгинский р-н, Чаплыгин"
78.0,3100000,"Республика Северная Осетия — Алания, Владикавказ"
43.6,5500000,"Московская область, Королёв"
18.0,1000000,"Чеченская Республика, Грозный"
38.0,7800000,"Краснодарский край, Сочи"
64.0,5300000,"Ярославская область, Ярославль"
26.6,4150000,"Ленинградская область, Всеволожский р-н, Муринское городское поселение, Мурино"
49.0,1280000,"Саратовская область, Балаковский р-н, муниципальное образование Город Балаково, Балаково"
147.5,6000000,"Удмуртская Республика, Ижевск"
57.6,1850000,"Тюменская область, Покачи"
77.0,6800000,"Ростовская область, Ростов-на-Дону"
35.6,3980000,"Республика Татарстан, Казань"
122.3,12500000,"Республика Северная Осетия — Алания, Владикавказ"
67.5,1600000,"Саратовская область, Марксовский р-н, Маркс"
35.9,1490000,"Рязанская область, Рязань"
68.0,2900000,"Республика Калмыкия, Элиста"
42.5,5700000,Севастополь
51.4,535000,"Вологодская область, Череповецкий р-н, пос. Суда"
53.5,27000000,"Краснодарский край, Сочи"
60.0,6200000,"Краснодарский край, Краснодар"
87.0,2950000,"Республика Башкортостан, Салават"
24.5,10300000,"Краснодарский край, Сочи"
24.0,1650000,"Ставропольский край, Ставрополь"
47.7,2500000,"Республика Башкортостан, Стерлитамак"
50.0,4350000,"Калининградская область, Гурьевский г.о., пос. Малое Исаково"
52.0,4499999,"Калужская область, Обнинск"
54.5,5550000,"Республика Татарстан, Казань"
40.2,950000,"Челябинская область, Троицк"
50.0,2650000,"Республика Дагестан, Каспийск"
61.0,7200000,"Республика Татарстан, Казань"
51.5,4250000,"Республика Коми, Сыктывкар"
25.4,3000000,"Краснодарский край, Краснодар"
42.0,9200000,Санкт-Петербург
32.0,900000,"Республика Башкортостан, Салават"
28.6,1380000,"Республика Башкортостан, Уфа"
16.9,1800000,"Тюменская область, Ханты-Мансийск"
70.0,4590000,"Саратовская область, Саратов"
75.5,5100000,"Тюменская область, Тюмень"
66.0,7000000,"Московская область, г.о. Истра, с. Рождествено"
39.0,8999000,"Краснодарский край, Сочи"
36.0,2350000,"Республика Дагестан, Каспийск"
63.0,7900000,
40.7,5004870,
57.0,4800000,
