area_sqm,price,region
38.7,5185800,Санкт-Петербург
24.5,3650000,"Краснодарский край, Новороссийск"
37.4,5015620,"Ленинградская область, Мурино"
25.3,3406563,"Ленинградская область, Мурино"
37.2,4389600,"Ленинградская область, Мурино"
77.9,10392975,Санкт-Петербург
38.1,5162550,Санкт-Петербург
37.3,4399040,"Ленинградская область, Мурино"
23.4,4364100,Санкт-Петербург
28.6,4304300,Санкт-Петербург
33.7,4383069,Санкт-Петербург
83.0,2200000,"Республика Дагестан, Махачкала"
35.7,4600140,Санкт-Петербург
39.8,4717485,"Ленинградская область, Мурино"
25.4,3577170,"Ленинградская область, Мурино"
38.8,5373800,Санкт-Петербург
42.4,9995104,"Московская область, Заречье"
56.4,4950000,"Калининградская область, Калининград"
52.4,7912400,"Татарстан, Казань"
38.8,5393200,Санкт-Петербург
34.6,4444815,Санкт-Петербург
52.2,6525000,Санкт-Петербург
34.9,6055150,Санкт-Петербург
21.3,3315000,"Ленинградская область, Мурино"
40.2,5299800,"Ленинградская область, Мурино"
27.0,4075000,Санкт-Петербург
36.0,4251540,"Ленинградская область, Мурино"
36.3,4752680,
38.5,4424050,
25.4,3503820,
20.5,3977000,Санкт-Петербург
41.8,5622100,Санкт-Петербург
20.3,3948350,Санкт-Петербург
57.9,9727200,
41.3,5950830,
31.4,6045714,
34.7,4435200,Санкт-Петербург
40.4,5860900,"Ленинградская область, Мурино"
21.4,4130200,Санкт-Петербург
32.5,4283400,Санкт-Петербург
25.9,3392900,"Ленинградская область, Мурино"
35.9,4312800,"Ленинградская область, Бугры"
24.9,4569150,Санкт-Петербург
42.2,8718445,"Московская область, Заречье"
38.5,4561065,"Ленинградская область, Мурино"
33.6,5880000,Санкт-Петербург
30.7,4041873,"Ленинградская область, Мурино"
39.5,4842969,"Ленинградская область, Мурино"
51.8,6653730,"Ленинградская область, Мурино"
36.8,6421600,Санкт-Петербург
44.5,1600000,"Краснодарский край, Краснодар"
41.3,5950830,Санкт-Петербург
53.9,6494950,Санкт-Петербург
25.8,4200000,Санкт-Петербург
35.4,4704210,"Ленинградская область, Мурино"
36.7,6367450,Санкт-Петербург
36.0,6760000,Москва
81.7,16622054,"Московская область, Заречье"
45.9,6052200,"Ленинградская область, Мурино"
36.5,5448552,Санкт-Петербург
48.6,1722000,"Краснодарский край, Краснодар"
64.0,6800000,"Краснодарский край, Сочи"
33.8,4053600,"Ленинградская область, Бугры"
54.3,7547700,Санкт-Петербург
40.1,2080000,"Краснодарский край, Краснодар"
59.1,9987900,Санкт-Петербург
90.0,3600000,"Дагестан, Каспийск"
41.4,6154693,Санкт-Петербург
43.3,4889510,"Ленинградская область, Мурино"
35.9,4303200,"Ленинградская область, Бугры"
63.3,6991000,"Ленинградская область, Аннино"
40.8,4700000,"Калининградская область, Калининград"
35.5,8450000,Москва
47.0,6800000,"Крым, Ялта"
34.5,5380440,Санкт-Петербург
51.3,9028800,Санкт-Петербург
35.6,6532600,Санкт-Петербург
37.2,4389600,"Ленинградская область, Мурино"
